experiment_id,status,experiment_role,variant,dataset_role,seed,steps,multi_seed,publication_evidence,g1_eligible
V7.1-T-readiness-fixture,readiness_only,readiness_fixture,full_reference,train_plus_valid_iid_only,0,3-10,false,false,false
V7-G1-template,planned_not_executed,publication_training,config_selected,train_plus_valid_iid_only,0|1|2,registered_experiment_only,true,false,true
V7-G1-Full-P1i,registered_not_executed,publication_training,Full,train_768_plus_valid_iid_128_only,0|1|2,200_epochs_registered_only,true,false,true
V7-G1-Full-P1i:vanilla-RIGNO,planned_not_executed,publication_training,vanilla_RIGNO,shared_with_Full_P1i,0|1|2,registered_variant_only,true,false,true
V7-G1-Full-P1i:vanilla-RIGNO-capacity-matched,planned_not_executed,publication_training,vanilla_RIGNO_capacity_matched,shared_with_Full_P1i,0|1|2,registered_variant_only,true,false,true
V7-G1-Full-P1i:layout-agnostic-stratified-support,planned_not_executed,publication_training,layout_agnostic_stratified_support,shared_with_Full_P1i,0|1|2,registered_variant_only,true,false,true
V7-G1-Full-P1i:cv-only-support,planned_not_executed,publication_training,cv_only_support,shared_with_Full_P1i,0|1|2,registered_variant_only,true,false,true
V7-G1-Full-P1i:no-film,planned_not_executed,publication_training,no_film,shared_with_Full_P1i,0|1|2,registered_variant_only,true,false,true
V7-G1-Full-P1i:physics-scale-only,planned_not_executed,publication_training,physics_scale_only,shared_with_Full_P1i,0|1|2,registered_variant_only,true,false,true
V7-G1-BudgetQual-e200-Full-seed0,completed_nonpublication,budget_qualification_only,Full,train_768_plus_valid_iid_128_only,0,200_epochs_exact_schedule,false,false,false
V7-G1-BudgetQual-e200-Vanilla-seed0,completed_nonpublication,budget_qualification_only,vanilla_RIGNO,train_768_plus_valid_iid_128_only,0,200_epochs_exact_schedule,false,false,false
