policy,resolution,sample_count,full_point_global_pct,full_raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,regional_nodes,p2r_edges_mean,r2r_edges_mean,p2r_regional_degree_mean,physical_coverage_radius_median_m,undercovered_fraction,r2r_components_max,coverage_passed,fresh_median_s,fresh_p95_s,warm_median_s,warm_p95_s,peak_vram_bytes,provenance_class,source_paths,source_sha256
A,1024,32,3.071967625386462,2.930196006566672,2.9627762630847885,2.6755216248449316,1.4165821789031567,256.0,2594.8125,4119.25,10.135986328125,0.0009271003910026271,0.0,1.0,True,1.7770571205182932,1.9087410156964324,0.010156094445846975,0.012516494310693814,139176192,historical_reuse,configs/heat3d_v6_p1i/v6_p1i_gpu_only_high_n_closeout.json;configs/heat3d_v6_p1i/v6_p1i_publication_graph_diagnostics.json;configs/heat3d_v6_p1i/v6_inference_qualification_timing.csv,d4a4433f46b155ae941e6fda87b7fc39d7d59c21e77e35cfa6ae57a670b879ba;61ea0642e554aeb123937b213bb88fb3aabd75a971b493dccf9c0768c9648722;deae2b4b803b38c22c8dd70b8f9df9bee01797835ba7c0e361ee45ce1a8d3141
A,4096,32,2.823750041212247,2.6381528447588414,3.5611520964318055,3.565766029145503,0.6908449321960156,1024.0,11877.96875,17728.375,11.599578857421875,0.0005036275976677689,0.0,1.0,True,0.32604494562838227,0.3387186749605462,0.0032185360323637724,0.003490280220285058,157979136,historical_reuse,configs/heat3d_v6_p1i/v6_p1i_gpu_only_high_n_closeout.json;configs/heat3d_v6_p1i/v6_p1i_publication_graph_diagnostics.json;configs/heat3d_v6_p1i/v6_p1i_publication_gpu_timing.json,d4a4433f46b155ae941e6fda87b7fc39d7d59c21e77e35cfa6ae57a670b879ba;61ea0642e554aeb123937b213bb88fb3aabd75a971b493dccf9c0768c9648722;e2b8b2d86b6719f98b85682c574d8855d8923e185fc8cede3cfd3992dc7babe4
A,8192,32,2.7427579982503554,2.491699688318761,3.6060349963750618,3.369423744840235,0.5623705985613656,2048.0,22700.0625,35973.8125,11.084014892578125,0.000387572227082488,0.0,1.0,True,0.47749551839660853,0.4961270613945089,0.0037603575037792325,0.003928012738469988,185564416,historical_reuse,configs/heat3d_v6_p1i/v6_p1i_gpu_only_high_n_closeout.json;configs/heat3d_v6_p1i/v6_p1i_publication_graph_diagnostics.json;configs/heat3d_v6_p1i/v6_p1i_graph_scale_ablation_raw/A_8192_timing_only.json,d4a4433f46b155ae941e6fda87b7fc39d7d59c21e77e35cfa6ae57a670b879ba;61ea0642e554aeb123937b213bb88fb3aabd75a971b493dccf9c0768c9648722;b260314be3056a0a66e30d6de06765e892c3d004566ec4e4f7cc6d5a0dd4c352
A,16384,32,2.8173708946158174,2.5342753349123437,3.7365713301693875,3.496277891479243,0.5954506934552837,4096.0,38712.21875,73177.1875,9.451225280761719,0.0003497321891998865,0.0,1.0,True,0.5764100778615102,0.5957284889183938,0.006770816049538553,0.006908007396850734,310001152,historical_reuse,configs/heat3d_v6_p1i/v6_p1i_gpu_only_high_n_closeout.json;configs/heat3d_v6_p1i/v6_p1i_publication_graph_diagnostics.json;configs/heat3d_v6_p1i/v6_p1i_graph_scale_ablation_raw/A_16384_timing_only.json,d4a4433f46b155ae941e6fda87b7fc39d7d59c21e77e35cfa6ae57a670b879ba;61ea0642e554aeb123937b213bb88fb3aabd75a971b493dccf9c0768c9648722;0b99d4e424618c1eb456be638001382a0e445273e184d5ece807e90e1581c68e
A,32768,32,2.939389790801459,2.6468942460370664,3.703181295835305,3.108928655934672,0.6568611645383883,8192.0,69092.09375,146035.4375,8.434093475341797,0.00031250002793967743,0.0,1.0,True,0.4129834249615669,0.4236251087975688,0.018056844943203032,0.018398880877066405,470183936,historical_reuse,configs/heat3d_v6_p1i/v6_p1i_gpu_only_high_n_closeout.json;configs/heat3d_v6_p1i/v6_p1i_publication_graph_diagnostics.json;configs/heat3d_v6_p1i/v6_p1i_publication_gpu_timing.json,d4a4433f46b155ae941e6fda87b7fc39d7d59c21e77e35cfa6ae57a670b879ba;61ea0642e554aeb123937b213bb88fb3aabd75a971b493dccf9c0768c9648722;e2b8b2d86b6719f98b85682c574d8855d8923e185fc8cede3cfd3992dc7babe4
B,1024,32,3.0477158084334937,2.934367665899419,2.9201524570693107,2.636333018109248,1.2680209414247423,128.0,3135.3125,1763.8125,24.49462890625,0.0015076103072596276,0.0,1.0,True,0.38637551094871014,0.4009417407447472,0.0015270320000126958,0.0017444085795432342,156589312,new_execution,configs/heat3d_v6_p1i/v6_p1i_graph_resolution_raw/B_1024.json,33faf61f409a6ad3b45c5d3c361d983f9ac56d267d2c3bf53e9e20dbe75353f6
B,4096,32,2.795196333268537,2.6129528339826256,3.520061566626727,3.688483058974905,0.6457290152916809,512.0,17096.9375,7865.5,33.3924560546875,0.0009214975928015602,0.0,1.0,True,0.42827818740624934,0.4382643488352187,0.009673716966062784,0.010260488593485207,168447488,new_execution,configs/heat3d_v6_p1i/v6_p1i_graph_resolution_raw/B_4096.json,2531317c3afac564de1000e5ac62fb870daba11f4bb85cd4a59e56b05261a76a
B,8192,32,2.739835066049737,2.4587887815005853,3.587522396517475,3.4786064303177264,0.5100798090283039,1024.0,34946.5,16120.9375,34.12744140625,0.0006975079021275368,0.0,1.0,True,0.4418046238133684,0.4548626501346007,0.0026642305310815573,0.0037145422073081137,190544896,historical_reuse,configs/heat3d_v6_p1i/v6_p1i_graph_scale_ablation_raw/B_8192.json,285c924897245e085b32079cada0c0840cbd6834ffd2197ddd54d63eeca8dcd1
B,16384,32,2.7558152920029935,2.4357614021543434,3.6838103894423657,3.440714127890834,0.546116829368644,2048.0,54934.75,32975.5,26.8236083984375,0.0005676063594982547,0.0,1.0,True,0.5456065846374258,0.5555880114203319,0.004963301471434534,0.005227320385165514,249393664,historical_reuse,configs/heat3d_v6_p1i/v6_p1i_graph_scale_ablation_raw/B_16384.json,5b81fc3ab25f28cfd683419106f7a55434a4044e41339d15d463e099bb9a79fb
B,32768,32,2.808226193684273,2.5203762948403656,3.6273425074271852,3.479292549903588,0.6291286552792261,4096.0,90461.34375,66253.5625,22.085289001464844,0.0004941058137189628,0.0,1.0,True,0.7345602569403127,0.7649584123166278,0.008580053108744323,0.008959434763528408,355941888,new_execution,configs/heat3d_v6_p1i/v6_p1i_graph_resolution_raw/B_32768.json,75ba079a0e1bce66025518a8784493d51d4ed74d8653844ef94600393c7dfd9d
