strategy,query_nodes,output_nodes,population,pg_pct,raw_K,source_K,peak_K,interface_K,provenance
A,1024,240825,frozen_valid32,3.071967625386462,2.930196006566672,2.9627762630847885,2.6755216248449316,1.4165821789031567,historical_reuse_graph_resolution_closeout
A,4096,240825,frozen_valid32,2.823750041212247,2.6381528447588414,3.5611520964318055,3.565766029145503,0.6908449321960156,historical_reuse_graph_resolution_closeout
A,8192,240825,frozen_valid32,2.7427579982503554,2.491699688318761,3.6060349963750618,3.369423744840235,0.5623705985613656,historical_reuse_graph_resolution_closeout
A,16384,240825,frozen_valid32,2.8173708946158174,2.5342753349123437,3.7365713301693875,3.496277891479243,0.5954506934552837,historical_reuse_graph_resolution_closeout
A,32768,240825,frozen_valid32,2.939389790801459,2.6468942460370664,3.703181295835305,3.108928655934672,0.6568611645383883,historical_reuse_graph_resolution_closeout
B,1024,240825,frozen_valid32,3.0477158084334937,2.934367665899419,2.9201524570693107,2.636333018109248,1.2680209414247423,historical_reuse_graph_resolution_closeout
B,4096,240825,frozen_valid32,2.795196333268537,2.6129528339826256,3.520061566626727,3.688483058974905,0.6457290152916809,historical_reuse_graph_resolution_closeout
B,8192,240825,frozen_valid32,2.739835066049737,2.4587887815005853,3.587522396517475,3.4786064303177264,0.5100798090283039,historical_reuse_graph_resolution_closeout
B,16384,240825,frozen_valid32,2.7558152920029935,2.4357614021543434,3.6838103894423657,3.440714127890834,0.546116829368644,historical_reuse_graph_resolution_closeout
B,32768,240825,frozen_valid32,2.808226193684273,2.5203762948403656,3.6273425074271852,3.479292549903588,0.6291286552792261,historical_reuse_graph_resolution_closeout
E,1024,240825,frozen_valid32,3.071967625386462,2.930196006566672,2.9627762630847885,2.6755216248449316,1.4165821789031567,historical_reuse_graph_resolution_closeout
E,4096,240825,frozen_valid32,2.78584094575648,2.5999888472290746,3.5992641344927407,3.635362770116775,0.6138855987439292,historical_reuse_graph_resolution_closeout
E,8192,240825,frozen_valid32,2.758323270681768,2.42978259041746,3.7290300180299774,3.433107511805672,0.453002118041612,historical_reuse_graph_resolution_closeout
E,16384,240825,frozen_valid32,2.7022718511135237,2.2848017567439847,3.872171969669102,4.017883445902608,0.38572251781135125,historical_reuse_graph_resolution_closeout
E,32768,240825,frozen_valid32,2.6724606376756133,2.2087146445648043,3.903574068592729,4.051528852456719,0.3844841081111273,historical_reuse_graph_resolution_closeout
E16384_reconstruction,16384,240825,valid96_seed0,3.367457635538948,2.479598423158912,4.087603797006549,5.499716179896907,0.3862066809958976,v6_p1i_u_v2_valid96_closeout.json
U_v2_16384_reconstruction,16384,240825,valid96_seed0,3.408652200634564,2.495659620660817,4.1660430429964865,5.666833378875287,0.3854632884777772,v6_final_Uv2_16384_valid96.json
U_v2_direct240825,240825,240825,valid96_seed0,3.460814584763588,2.4359499959381514,4.228456077852633,5.72579195726648,0.38737151082481946,v6_p1i_u_v2_valid96_closeout.json
E240825_direct_control,240825,240825,valid96_seed0,4.237667762514514,2.9385470784947483,6.010089985825075,10.534402357156331,0.5262372660591051,v6_p1i_u_v2_valid96_closeout.json
FVM240825_reference,240825,240825,reference,,,,,,frozen_full_field_reference
