resolution,system,graph_policy,measurement_domain,point_global_pct,sample_first_pct,raw_cv_rmse_K,accuracy_evidence,neural_core_median_s,neural_core_p95_s,graph_construction_median_s,graph_construction_p95_s,reconstruction_map_build_median_s,reconstruction_map_build_p95_s,reconstruction_apply_median_s,reconstruction_apply_p95_s,warm_cache_median_s,warm_cache_p95_s,new_case_median_s,new_case_p95_s,peak_vram_bytes,new_case_speedup_vs_fvm,warm_speedup_vs_fvm,neural_core_over_fvm,timing_evidence
1024,GPU_RIGNO,A_frozen,native_support_1024,1.754447414985133,1.4104226878028157,1.2949499373815059,historical_valid32,,,1.6228159195743501,1.744412233767798,0.13073232804890722,0.13697208128287458,0.005931882536970079,0.006560869875829667,0.010002867493312806,0.01169787180260755,1.7637653370038606,1.8922954123758244,139173376,,,,historical_unified_direct_wall
1024,GPU_RIGNO,A_frozen,reconstructed_full_240825_from_1024,3.071967625386462,3.7931740205886584,2.930196006566672,historical_valid32,,,1.6228159195743501,1.744412233767798,0.13073232804890722,0.13697208128287458,0.005931882536970079,0.006560869875829667,0.010002867493312806,0.01169787180260755,1.7637653370038606,1.8922954123758244,139173376,,,,historical_unified_direct_wall
4096,GPU_RIGNO,A_frozen_no_go_retained,reconstructed_full_240825_from_4096,2.823750041212247,3.2903205353120364,2.6381528447588414,historical_valid32,0.0032160880509763956,0.003664864553138614,1.721323020523414,1.8281884131371045,0.06077246501808986,0.06246995930559933,,,0.0032185360323637724,0.003490280220285058,1.7874283180572093,1.892077658569906,157979136,0.004258834831715383,1.9443548225497336,0.4224822807123964,historical_direct_new_topology_plus_publication_cached
4096,CPU_FVM,legal_structured_mesh,structured_4096_vs_240825_reference,1.190491,1.962932,1.518489,historical_read_only,,,,,,,,,0.006257976056076586,0.006970357499085367,0.007612361980136484,0.008467424922855571,0,1.0,1.0,,historical_unified_CPU
8192,GPU_RIGNO,A_frozen_no_go_retained,reconstructed_full_240825_from_8192,2.7427579982503554,3.0860043929392598,2.491699688318761,historical_valid32,0.004396616946905851,0.004715492785908281,1.6873175704968162,1.819241328863427,0.0616559199988842,0.06547165523516014,,,0.004326750058680773,0.004637661727610975,1.750683355028741,1.8882582660939078,162774272,0.007888387114664181,2.798698868604792,0.3183631637907208,historical_direct_new_topology_plus_publication_cached
8192,CPU_FVM,legal_structured_mesh,structured_8192_vs_240825_reference,1.191106,1.963303,1.518798,historical_read_only,,,,,,,,,0.012109270493965596,0.013702150568133219,0.013810068019665778,0.015848647366510704,0,1.0,1.0,,historical_unified_CPU
16384,GPU_RIGNO,A_frozen_no_go_retained,reconstructed_full_240825_from_16384,2.8173708946158174,3.1586288748782647,2.5342753349123437,historical_valid32,0.00801954697817564,0.008546535111963748,1.6747087294934317,1.8224331540812273,0.06875741749536246,0.07145592554588802,,,0.008008401957340539,0.008662753237877041,1.7439020425081253,1.8969358410162385,244753664,0.016040773941076954,3.1522641650878294,0.2866833237986735,historical_direct_new_topology_plus_publication_cached
16384,CPU_FVM,legal_structured_mesh,structured_16384_vs_240825_reference,1.191235,1.963571,1.519003,historical_read_only,,,,,,,,,0.02524459850974381,0.029029177268967032,0.027973538439255208,0.032268789276713505,0,1.0,1.0,,historical_unified_CPU
32768,GPU_RIGNO,A_frozen_no_go_retained,reconstructed_full_240825_from_32768,2.939389790801459,3.3291799012485193,2.6468942460370664,historical_valid32,0.01804737001657486,0.018476763262879104,1.6879737804993056,1.8134720741829369,0.08171065850183368,0.08357500971760601,,,0.018056844943203032,0.018398880877066405,1.775329741940368,1.8997491308604366,470183936,0.03787033723694878,3.4857289978512074,0.2684328863335964,historical_direct_new_topology_plus_publication_cached
32768,CPU_FVM,legal_structured_mesh,structured_32768_vs_240825_reference,1.191553,1.963771,1.519157,historical_read_only,,,,,,,,,0.06294126802822575,0.06950772100244648,0.06723233603406698,0.07633275625412352,0,1.0,1.0,,historical_unified_CPU
240825,CPU_FVM,reference_structured_mesh,full_240825_reference,0.069648,0.045814,0.036553,historical_read_only,,,,,,,,,1.6696731349802576,1.8672795885591766,1.6972032985067926,1.9520894957415293,0,1.0,1.0,,historical_unified_CPU
