route,system,state,semantics,sample_count,median_s,p95_s,dynamic_prepare_median_s,h2d_median_s,forward_plus_reconstruction_median_s,speedup_vs_semantically_matched_fvm,comparison_status,provenance
B8192_recon,GPU_RIGNO,virgin_process_cold,independent process entry to first synchronized output,1,10.308110977057368,11.005942636064718,,,,0.22680046045775565,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
B8192_recon,GPU_RIGNO,resident_runtime_graph_rebuild,"resident runtime, fresh sample-varying support graph",32,0.4418046238133684,0.4548626501346007,,,,N/A:no_semantically_matched_FVM_state,not_comparable,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
B8192_recon,GPU_RIGNO,known_support_new_physics,fixed first support/graph/map; 32 distinct groups with real per-sample k/q/BC/context/scale,32,0.055247233947739005,0.059555078612174836,0.04013509408105165,0.0005057824309915304,0.0031094654696062207,30.52516177767161,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p2_raw/B_8192.json
B8192_recon,GPU_RIGNO,same_input_resident_replay,fixed input/support/graph/JIT repeated replay,20,0.0026642305310815573,0.0037145422073081137,,,,608.317275526417,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
E32768_recon,GPU_RIGNO,virgin_process_cold,independent process entry to first synchronized output,1,9.850872718496248,10.983370477729475,,,,0.23732763409444788,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
E32768_recon,GPU_RIGNO,resident_runtime_graph_rebuild,"resident runtime, fresh sample-varying support graph",32,0.5640492564998567,0.5775734907248988,,,,N/A:no_semantically_matched_FVM_state,not_comparable,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
E32768_recon,GPU_RIGNO,known_support_new_physics,fixed first support/graph/map; 32 distinct groups with real per-sample k/q/BC/context/scale,32,0.0809485869249329,0.08750782605493442,0.058355664601549506,0.0007015365408733487,0.008681091014295816,20.83335630784394,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p2_raw/E_32768.json
E32768_recon,GPU_RIGNO,same_input_resident_replay,fixed input/support/graph/JIT repeated replay,20,0.008730652974918485,0.009644364123232663,,,,185.6330176789513,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
B240825_direct,GPU_RIGNO,virgin_process_cold,independent process entry to first synchronized output,1,13.625646177912131,13.694262893311679,,,,0.17157970238769935,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
B240825_direct,GPU_RIGNO,resident_runtime_graph_rebuild,"resident runtime, fresh sample-varying support graph",32,3.2197206770069897,3.2982760112150573,,,,N/A:no_semantically_matched_FVM_state,not_comparable,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
B240825_direct,GPU_RIGNO,known_support_new_physics,fixed first support/graph/map; 32 distinct groups with real per-sample k/q/BC/context/scale,32,0.2642394669819623,0.2753628458012827,0.16299918049480766,0.0009947274811565876,0.0784940009471029,6.38220616051547,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p2_raw/B_240825.json
B240825_direct,GPU_RIGNO,same_input_resident_replay,fixed input/support/graph/JIT repeated replay,20,0.08623344299849123,0.08688304928364232,,,,18.79430301849583,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
E240825_direct,GPU_RIGNO,virgin_process_cold,independent process entry to first synchronized output,1,10.899459723965265,11.064614169322885,,,,0.21449543144838792,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
E240825_direct,GPU_RIGNO,resident_runtime_graph_rebuild,"resident runtime, fresh sample-varying support graph",32,1.5714656750205904,1.6313549989252352,,,,N/A:no_semantically_matched_FVM_state,not_comparable,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
E240825_direct,GPU_RIGNO,known_support_new_physics,fixed first support/graph/map; 32 distinct groups with real per-sample k/q/BC/context/scale,32,0.3929405484814197,0.4482607992249541,0.28428390447515994,0.0010637890081852674,0.08549875894095749,4.291821652260323,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p2_raw/E_240825.json
E240825_direct,GPU_RIGNO,same_input_resident_replay,fixed input/support/graph/JIT repeated replay,20,0.09336033603176475,0.09401383431395516,,,,17.359593237650824,semantically_matched,configs/heat3d_v6_p1i/v6_p1i_performance_p1_closeout.json
FVM240825,CPU_FVM,virgin_process_cold,independent process entry to first synchronized output,32,2.3378843160462566,2.670287739956984,,,,1.0,reference,configs/heat3d_v6_p1i/v6_unified_performance_timing.csv
FVM240825,CPU_FVM,resident_runtime_graph_rebuild,no FVM unseen-topology/JIT state under frozen solver contract,0,N/A,N/A,,,,N/A,not_applicable,configs/heat3d_v6_p1i/v6_unified_performance_timing.csv
FVM240825,CPU_FVM,known_support_new_physics,fixed first support/graph/map; 32 distinct groups with real per-sample k/q/BC/context/scale,32,1.686430754023604,1.8391671155870426,,,,1.0,reference,configs/heat3d_v6_p1i/v6_unified_performance_timing.csv
FVM240825,CPU_FVM,same_input_resident_replay,fixed input/support/graph/JIT repeated replay,32,1.6206974580418319,1.898054601694457,,,,1.0,reference,configs/heat3d_v6_p1i/v6_unified_performance_timing.csv
